"","Kingdom","Phylum","Class","Order","Family","Genus"
"SV1","K_Bacteria","P_Proteobacteria","C_Epsilonproteobacteria",NA,NA,NA
"SV4","K_Bacteria","P_Firmicutes","C_Bacilli",NA,NA,NA
"SV5","K_Bacteria","P_Firmicutes","C_Clostridia",NA,NA,NA
"SV6","K_Bacteria","P_Deferribacteres","C_Deferribacteres",NA,NA,NA
"SV7","K_Bacteria","P_Bacteroidetes","C_Bacteroidia",NA,NA,NA
