"","Kingdom","Phylum","Class","Order","Family","Genus"
"SV1","K_Bacteria","P_Proteobacteria","C_Epsilonproteobacteria","O_Campylobacterales",NA,NA
"SV4","K_Bacteria","P_Firmicutes","C_Bacilli","O_Lactobacillales",NA,NA
"SV5","K_Bacteria","P_Firmicutes","C_Clostridia","O_Clostridiales",NA,NA
"SV6","K_Bacteria","P_Deferribacteres","C_Deferribacteres","O_Deferribacterales",NA,NA
"SV7","K_Bacteria","P_Bacteroidetes","C_Bacteroidia","O_Bacteroidales",NA,NA
"SV9","K_Bacteria","P_Firmicutes","C_Bacilli","O_Bacillales",NA,NA
