"","Kingdom","Phylum","Class","Order","Family","Genus"
"SV1","K_Bacteria","P_Proteobacteria",NA,NA,NA,NA
"SV4","K_Bacteria","P_Firmicutes",NA,NA,NA,NA
"SV6","K_Bacteria","P_Deferribacteres",NA,NA,NA,NA
"SV7","K_Bacteria","P_Bacteroidetes",NA,NA,NA,NA
